x,Curve1
0.1,1
0.110017,0.999563
0.128991,0.974918
0.166387,0.973783
0.198212,0.973004
0.236124,0.948944
0.314427,0.947701
0.405583,0.901806
0.453367,0.901346
0.514908,0.87925
0.575572,0.837218
0.653702,0.797137
0.791225,0.758754
0.988644,0.671471
1.14085,0.639278
1.38086,0.565821
1.61901,0.500877
1.95961,0.432707
2.52773,0.356023
2.78093,0.322985
3.10857,0.292992
3.53053,0.259401
4.00977,0.229661
4.70132,0.203301
5.17226,0.180019
5.78163,0.163302
6.36077,0.148148
6.99794,0.134401
7.69892,0.12492
8.60597,0.110606
9.61989,0.0979327
11.279,0.0888191
12.81,0.0786361
14.3192,0.0713338
16.7888,0.0646955
19.6843,0.0615893
24.9902,0.0586109
29.7701,0.0557928
